120860101001000,24
120860101001001,25
120860101001002,26
120870101001000,27
120860101001003,27
120110201001001,23
120110201001000,23
120870202001000,28
120860202001000,27
120950301001000,1
120950301001001,2
120950301001002,3
120950301001003,4
120950301001004,5
120950301001005,6
120950301001006,7
120950301001007,8
120950301001008,9
120950301001009,10
120950301001010,11
120950301001011,12
120950301001012,13
120950301001013,14
120950301001014,15
120950301001015,16
120950301001016,17
120950301001017,18
120950301001018,19
120950301001019,20
120950301001020,21
120570101001000,9
